iter	RMSE
0	14.8828848
1	14.53880847
2	14.19046665
3	13.8522263
4	13.53447937
5	13.18325474
6	12.87033919
7	12.56296061
8	12.24820973
9	11.96566816
10	11.72104261
11	11.44965208
12	11.21030017
13	10.98523809
14	10.75112858
15	10.52325119
16	10.30011691
17	10.10042253
18	9.928838047
19	9.724689542
20	9.541795699
21	9.354631664
22	9.176565627
23	9.020835597
24	8.866237515
25	8.721633021
26	8.593454397
27	8.45209132
28	8.3343546
29	8.217692851
30	8.07705666
31	7.974638403
32	7.854088826
33	7.732764675
34	7.623829116
35	7.517519982
36	7.435196067
37	7.340155592
38	7.241339697
39	7.157648368
40	7.069715597
41	6.986967372
42	6.905580083
43	6.837905438
44	6.761540008
45	6.698486203
46	6.627322231
47	6.575178064
48	6.519886912
49	6.4681951
50	6.420465055
51	6.36579596
52	6.319839907
53	6.265780187
54	6.225956422
55	6.189738874
56	6.144506889
57	6.103296823
58	6.07216728
59	6.029478427
60	5.995455802
61	5.967852818
62	5.927226105
63	5.896980637
64	5.862889158
65	5.831085449
66	5.801216026
67	5.778229444
68	5.757989563
69	5.727580168
70	5.700852801
71	5.678117621
72	5.656392938
73	5.6328833
74	5.613356483
75	5.587715375
76	5.566097791
77	5.542652738
78	5.524349234
79	5.507519897
80	5.489821657
81	5.475200359
82	5.459504642
83	5.439488583
84	5.425011853
85	5.411334744
86	5.402191207
87	5.390013697
88	5.377104592
89	5.365142581
90	5.352476897
91	5.34019891
92	5.330190911
93	5.314814761
94	5.302857781
95	5.289478412
96	5.279303731
97	5.266656426
98	5.255636761
99	5.24593826
100	5.233283717
101	5.226362356
102	5.215086109
103	5.203295011
104	5.198382011
105	5.186486683
106	5.176502528
107	5.168243569
108	5.159778467
109	5.15256086
110	5.142781221
111	5.13694944
112	5.128355475
113	5.119548458
114	5.115452468
115	5.109181363
116	5.103630197
117	5.09651878
118	5.087757507
119	5.080186852
120	5.072952336
121	5.066769827
122	5.06083961
123	5.054121523
124	5.048020294
125	5.042605538
126	5.039047097
127	5.03386806
128	5.028368226
129	5.024017945
130	5.015422016
131	5.010290068
132	5.004130713
133	4.996688076
134	4.988414269
135	4.983470854
136	4.978828401
137	4.976299867
138	4.970536944
139	4.967927274
140	4.96033499
141	4.95687775
142	4.952676393
143	4.949484308
144	4.943354738
145	4.942713846
146	4.938954619
147	4.930904091
148	4.927670391
149	4.922107622
150	4.914959721
151	4.910154393
152	4.907192017
153	4.90342094
154	4.901831403
155	4.89901489
156	4.895382219
157	4.891901924
158	4.890068815
159	4.887973842
160	4.881061266
161	4.877779464
162	4.873994072
163	4.869445299
164	4.86531824
165	4.859953666
166	4.858595056
167	4.854508109
168	4.850045797
169	4.847610149
170	4.845313058
171	4.842061127
172	4.83853182
173	4.837544449
174	4.834024382
175	4.830836019
176	4.828197673
177	4.822342348
178	4.818406806
179	4.813466987
180	4.810792166
181	4.808005759
182	4.805162544
183	4.801447918
184	4.79774435
185	4.795566174
186	4.79065591
187	4.787863827
188	4.785452206
189	4.780868112
190	4.779419062
191	4.777157043
192	4.774206696
193	4.768545206
194	4.765837821
195	4.763143082
196	4.759512978
197	4.757676519
198	4.752870604
199	4.749581224
200	4.747960269
201	4.746872243
202	4.746598769
203	4.742944267
204	4.7403237
205	4.738762492
206	4.733571633
207	4.728664574
208	4.725220916
209	4.72199146
210	4.720008997
211	4.716280892
212	4.710005267
213	4.705170695
214	4.700919688
215	4.6999867
216	4.699342935
217	4.69804529
218	4.69728249
219	4.69510858
220	4.692943499
221	4.691980637
222	4.689205338
223	4.685019021
224	4.681560776
225	4.67633057
226	4.674659948
227	4.671078055
228	4.669841757
229	4.668397636
230	4.662400942
231	4.658778125
232	4.658401768
233	4.656848442
234	4.654775036
235	4.650863445
236	4.649714782
237	4.644196013
238	4.642784366
239	4.637007733
240	4.631748352
241	4.627250216
242	4.624784154
243	4.620569271
244	4.619428226
245	4.6151283
246	4.611865709
247	4.607821262
248	4.607443042
249	4.60305136
250	4.597516929
251	4.5920786
252	4.59037113
253	4.586804961
254	4.584538964
255	4.582033813
256	4.581416336
257	4.576364493
258	4.570242157
259	4.566235573
260	4.558972963
261	4.556890139
262	4.554392621
263	4.547569257
264	4.541144308
265	4.540551697
266	4.535044171
267	4.528662085
268	4.526078843
269	4.523302875
270	4.519028963
271	4.517046963
272	4.51177477
273	4.511426644
274	4.509407127
275	4.503050145
276	4.49727729
277	4.496668228
278	4.492654053
279	4.486992528
280	4.480332448
281	4.479445844
282	4.473527808
283	4.473302925
284	4.468544741
285	4.461887977
286	4.456244715
287	4.452151957
288	4.450277189
289	4.444426873
290	4.438326328
291	4.43238466
292	4.43094129
293	4.4245727
294	4.421838344
295	4.418311945
296	4.412279357
297	4.410703705
298	4.408987665
299	4.407092712
300	4.405142834
301	4.402392438
302	4.40095795
303	4.398285309
304	4.395747945
305	4.395533348
306	4.393561681
307	4.389997108
308	4.388324306
309	4.386786178
310	4.383096341
311	4.378943727
312	4.37167416
313	4.366971376
314	4.362230513
315	4.36109077
316	4.358284606
317	4.356356354
318	4.352233213
319	4.349828444
320	4.348332129
321	4.347829462
322	4.342583573
323	4.336876506
324	4.331750875
325	4.330375122
326	4.327909198
327	4.326999338
328	4.325198762
329	4.323640949
330	4.318827607
331	4.313407889
332	4.307392947
333	4.306230994
334	4.301010192
335	4.295633214
336	4.293351013
337	4.289465096
338	4.284319746
339	4.28173289
340	4.276886404
341	4.274759305
342	4.271038187
343	4.266679143
344	4.260394695
345	4.255807848
346	4.25247611
347	4.249108535
348	4.248481055
349	4.245008015
350	4.242920571
351	4.241588152
352	4.237048316
353	4.231841526
354	4.230403217
355	4.225341776
356	4.222924343
357	4.22069036
358	4.216431066
359	4.21400992
360	4.210676693
361	4.209188516
362	4.204295328
363	4.202190523
364	4.198985301
365	4.196949656
366	4.193289812
367	4.187094875
368	4.183922541
369	4.179353122
370	4.176355651
371	4.171938014
372	4.17050299
373	4.164872288
374	4.161370951
375	4.157688625
376	4.155681589
377	4.153855581
378	4.149847669
379	4.148438327
380	4.144242294
381	4.143289987
382	4.140022961
383	4.138045409
384	4.136291363
385	4.131207504
386	4.12921594
387	4.127064423
388	4.123987858
389	4.120416278
390	4.11611109
391	4.114878748
392	4.112589164
393	4.108066354
394	4.105941913
395	4.101651939
396	4.099283373
397	4.094894395
398	4.093668592
399	4.089498159
400	4.08421104
401	4.082707125
402	4.080724469
403	4.076236217
404	4.071596477
405	4.069766601
406	4.066277556
407	4.060560685
408	4.058358797
409	4.052941719
410	4.050757745
411	4.046444609
412	4.045463445
413	4.041497143
414	4.037990632
415	4.03660671
416	4.034898803
417	4.03068104
418	4.027897397
419	4.023254643
420	4.021501626
421	4.019662568
422	4.017082095
423	4.014015699
424	4.012097578
425	4.010779228
426	4.008481329
427	4.003978986
428	4.001955603
429	4.000913625
430	3.999651704
431	3.999450535
432	3.998050275
433	3.99406258
434	3.991659058
435	3.986534156
436	3.985192966
437	3.982391978
438	3.978892023
439	3.974609077
440	3.972969958
441	3.968877982
442	3.966193699
443	3.964262433
444	3.958477685
445	3.95792483
446	3.956083944
447	3.955044042
448	3.952993897
449	3.949182292
450	3.946732758
451	3.944748406
452	3.942446055
453	3.94021189
454	3.939618642
455	3.936475769
456	3.932028822
457	3.929333916
458	3.926905384
459	3.925997626
460	3.92246853
461	3.918807982
462	3.916663816
463	3.911945225
464	3.909833088
465	3.908800215
466	3.906215858
467	3.904395033
468	3.902511422
469	3.899343534
470	3.897870825
471	3.89621562
472	3.893869184
473	3.893042802
474	3.890238796
475	3.886986836
476	3.882939242
477	3.878640089
478	3.876674009
479	3.873178332
480	3.871981094
481	3.867073363
482	3.863008165
483	3.862301088
484	3.861126502
485	3.859578767
486	3.855302688
487	3.853461966
488	3.849710561
489	3.848123941
490	3.846886022
491	3.843271469
492	3.839563644
493	3.838382472
494	3.837586333
495	3.8339845
496	3.830542081
497	3.8302494
498	3.827513518
499	3.826520811
500	3.823902529
501	3.822343267
502	3.820851632
503	3.817739586
504	3.816124727
505	3.811325956
506	3.810140734
507	3.807389434
508	3.804795708
509	3.803179344
510	3.800877323
511	3.799220843
512	3.795590402
513	3.79184113
514	3.791265556
515	3.788609522
516	3.788366434
517	3.787535228
518	3.783716736
519	3.781607507
520	3.7808464
521	3.780630389
522	3.779184537
523	3.776108297
524	3.77365692
525	3.772058086
526	3.769522618
527	3.766134753
528	3.762855157
529	3.761563072
530	3.760932613
531	3.755728414
532	3.755287218
533	3.753806648
534	3.749425129
535	3.746314149
536	3.744845468
537	3.743425766
538	3.740299508
539	3.737961206
540	3.737809751
541	3.734965765
542	3.731986612
543	3.729783799
544	3.728585445
545	3.726447081
546	3.723044331
547	3.721865433
548	3.719701028
549	3.717857263
550	3.717112138
551	3.714193948
552	3.711967624
553	3.709337782
554	3.70639682
555	3.704624656
556	3.703387088
557	3.702246878
558	3.701124149
559	3.697867235
560	3.695532028
561	3.693898106
562	3.69143284
563	3.689196491
564	3.686983505
565	3.685348985
566	3.683007561
567	3.682111732
568	3.679854182
569	3.678227623
570	3.67464648
571	3.671637086
572	3.670377814
573	3.668282547
574	3.666542257
575	3.662863955
576	3.660652749
577	3.656568915
578	3.653420796
579	3.652723544
580	3.648866239
581	3.645979805
582	3.645874056
583	3.643723918
584	3.642952212
585	3.640856896
586	3.639231649
587	3.636190183
588	3.634240431
589	3.63137455
590	3.630327007
591	3.6266828
592	3.625299725
593	3.6245066
594	3.621521668
595	3.619834369
596	3.618539228
597	3.61530413
598	3.613080044
599	3.612257101
600	3.6105547
601	3.606669788
602	3.60561528
603	3.604607302
604	3.603411723
605	3.60076693
606	3.597839717
607	3.595595393
608	3.592625921
609	3.591225262
610	3.588730718
611	3.586872762
